Date,Open,High,Low,Close,Adj Close,Volume
2023-05-08,27.500000,27.840000,27.000000,27.040001,26.689669,41000
2023-05-09,27.020000,27.520000,26.879999,27.500000,27.143707,49200
2023-05-10,27.780001,28.400000,27.389999,28.260000,27.893862,85600
2023-05-11,27.940001,28.260000,27.610001,28.000000,27.637228,46200
2023-05-12,28.059999,28.590000,27.920000,28.150000,27.785286,62100
2023-05-15,28.200001,28.410000,28.020000,28.150000,27.785286,94500
2023-05-16,28.100000,28.100000,27.230000,27.230000,26.877205,100300
2023-05-17,27.330000,27.430000,26.629999,27.219999,26.867334,103800
2023-05-18,27.190001,27.850000,27.190001,27.820000,27.459560,57000
2023-05-19,28.040001,28.309999,27.270000,27.299999,26.946299,45900
2023-05-22,27.430000,27.780001,27.290001,27.639999,27.281893,41100
2023-05-23,27.559999,27.990000,27.370001,27.850000,27.489174,72400
2023-05-24,27.780001,27.780001,27.330000,27.620001,27.262152,69100
2023-05-25,27.490000,27.639999,26.420000,26.490000,26.146793,44400
2023-05-26,26.570000,27.020000,26.520000,26.820000,26.472517,49200
2023-05-30,26.750000,26.930000,26.530001,26.540001,26.196146,51300
2023-05-31,26.549999,26.549999,25.860001,26.160000,25.821070,102600
2023-06-01,26.260000,26.270000,25.440001,25.490000,25.159750,56500
2023-06-02,25.790001,26.820000,25.709999,26.790001,26.442907,89700
2023-06-05,26.540001,26.549999,25.950001,26.120001,25.781590,51000
2023-06-06,26.100000,27.420000,26.100000,27.240000,26.887077,66200
2023-06-07,27.299999,28.440001,27.299999,28.370001,28.002436,83500
2023-06-08,28.309999,28.309999,27.570000,27.879999,27.518784,54600
2023-06-09,27.850000,27.850000,27.309999,27.379999,27.025263,39400
2023-06-12,27.389999,28.040001,27.309999,27.870001,27.508915,45000
2023-06-13,27.920000,28.139999,27.190001,27.469999,27.114096,108200
2023-06-14,27.580000,28.100000,27.200001,27.260000,26.906816,77300
2023-06-15,27.100000,27.650000,26.750000,27.650000,27.291763,69700
2023-06-16,27.750000,28.209999,27.340000,27.660000,27.301636,129400
2023-06-20,27.490000,27.670000,27.219999,27.490000,27.133839,39100
2023-06-21,27.400000,27.549999,27.139999,27.480000,27.123966,37200
2023-06-22,27.290001,27.440001,26.940001,27.440001,27.084484,44500
2023-06-23,27.120001,27.510000,26.760000,27.129999,26.778500,192400
2023-06-26,26.959999,27.889999,26.959999,27.400000,27.045002,89100
2023-06-27,27.450001,27.660000,27.059999,27.330000,26.975908,81500
2023-06-28,27.350000,28.139999,27.200001,28.040001,27.676712,99200
2023-06-29,33.250000,35.590000,33.250000,33.759998,33.322601,582600
2023-06-30,33.480000,33.619999,31.660000,32.470001,32.049316,226100
2023-07-03,32.150002,33.189999,32.150002,33.150002,32.720509,77900
2023-07-05,33.150002,33.340000,32.380001,32.480000,32.059185,124700
2023-07-06,32.000000,33.090000,31.879999,33.049999,32.621799,76300
2023-07-07,33.150002,34.130001,33.150002,33.660000,33.223896,191100
2023-07-10,33.669998,34.160000,33.410000,33.919998,33.480526,110600
2023-07-11,34.009998,34.230000,33.860001,34.189999,33.747028,96300
2023-07-12,34.450001,34.730000,33.500000,33.570000,33.135067,74500
2023-07-13,33.700001,34.009998,33.549999,33.959999,33.520012,110300
2023-07-14,33.770000,34.220001,33.580002,34.020000,33.579235,80300
2023-07-17,34.049999,34.340000,33.580002,33.730000,33.292992,65900
2023-07-18,33.860001,34.189999,33.360001,33.470001,33.036358,67500
2023-07-19,33.669998,33.669998,33.000000,33.380001,32.947525,116300
2023-07-20,33.490002,34.029999,33.279999,33.959999,33.520012,158800
2023-07-21,34.080002,34.240002,33.470001,33.570000,33.135067,80600
2023-07-24,33.450001,33.700001,33.060001,33.279999,32.848824,47400
2023-07-25,33.080002,33.779999,33.080002,33.619999,33.184414,48700
2023-07-26,33.560001,34.110001,33.369999,33.419998,32.987007,27400
2023-07-27,33.529999,33.529999,32.259998,32.509998,32.088799,175800
2023-07-28,32.689999,32.980000,32.400002,32.400002,31.980223,64400
2023-07-31,32.680000,32.810001,32.250000,32.369999,31.950609,48700
2023-08-01,32.290001,32.480000,32.000000,32.299999,31.881519,41900
2023-08-02,31.879999,32.139999,31.770000,31.900000,31.486702,77400
2023-08-03,31.930000,31.930000,30.410000,31.360001,30.953697,126700
2023-08-04,30.709999,31.709999,30.680000,31.120001,30.827890,45400
2023-08-07,31.170000,31.410000,31.000000,31.059999,30.768452,45800
2023-08-08,31.000000,31.170000,30.730000,31.100000,30.808077,66900
2023-08-09,31.120001,31.770000,31.049999,31.549999,31.253853,48900
2023-08-10,31.730000,31.799999,30.719999,30.959999,30.669390,42600
2023-08-11,31.080000,31.320000,30.340000,30.370001,30.084930,53100
2023-08-14,30.260000,30.379999,30.000000,30.340000,30.055212,27900
